G.,Opp,Tier,Cmp,Att,Cmp%,Yds,AY.A,TD,TD%,Int,Int%,Rate,R.Atts,R.Yds,R.Avg,R.TDs,Throwing,Rushing
1,PIT,4,30,51,58.8,270,5.7,1,2.0,0,0.0,79.7,9,44,4.9,0,D,B
2,MIA,3,17,33,51.5,179,5.3,2,6.1,1,3.0,75.2,5,35,7.0,0,D,C
3,WAS,5,32,43,74.4,358,10.2,4,9.3,0,0.0,129.8,4,9,2.2,1,A,D
4,HOU,6,20,30,66.7,248,8.1,2,6.7,1,3.3,100.4,6,41,6.8,0,C,B
5,KAN,2,15,26,57.7,315,14.4,3,11.5,0,0.0,139.1,11,59,5.4,1,A,A
6,TEN,3,35,47,74.5,353,7.8,3,6.4,1,2.1,107.8,9,26,2.9,0,A,D
7,MIA,3,29,42,69.0,249,6.9,2,4.8,0,0.0,100.2,8,55,6.9,1,A,B
8,JAX,5,31,47,66.0,264,3.7,0,0.0,2,4.3,62.7,5,50,10.0,0,D,B
9,NYJ,6,21,28,75.0,366,12.9,2,7.1,1,3.6,125.6,2,3,1.5,0,A,F
10,IND,3,21,35,60.0,209,4.5,2,5.7,2,5.7,72.2,2,18,9.0,0,F,F
11,NOR,1,23,28,82.1,260,8.9,4,14.3,2,7.1,115.2,8,43,5.4,0,A,B
12,NWE,1,15,30,50.0,145,5.5,1,3.3,0,0.0,75.0,6,39,6.5,0,D,B
13,TAM,2,36,54,66.7,308,5.6,2,3.7,1,1.9,86.0,12,109,9.1,1,C,A
14,CAR,5,19,34,55.9,210,6.6,3,8.8,1,2.9,91.5,3,24,8.0,0,D,D
15,NWE,1,30,47,63.8,314,8.0,3,6.4,0,0.0,104.4,12,64,5.3,0,A,B
16,ATL,6,11,26,42.3,120,-0.6,0,0.0,3,11.5,17.0,15,81,5.4,2,F,A
17,NYJ,6,24,45,53.3,239,6.2,2,4.4,0,0.0,83.5,5,63,12.6,0,D,B
17 Games,Total/Avg,3.6,409,646,62.8,4407,7.0,36,5.9,15,2.7,92.1,122,763,6.4,6,,
